@relation movies
@attribute att_avis STRING
@attribute att_thought {-1,1}
@data
'sorry everyone    i know this is supposed to be an  art  film   but wow  they should have handed out guns at the screening so people could blow their brains out and not watch  although the scene design and photographic direction was excellent  this story is too painful to watch  the absence of a sound track was brutal  the loooonnnnng shots were too long  how long can you watch two people just sitting there and talking  especially when the dialogue is two people complaining  i really had a hard time just getting through this film  the performances were excellent  but how much of that dark  sombre  uninspired  stuff can you take  the only thing i liked was maureen stapleton and her red dress and dancing scene  otherwise this was a ripoff of bergman  and i m no fan f his either  i think anyone who says they enjoyed       hours of this is   well  lying',-1

'when i was little my parents took me along to the theater to see interiors  it was one of many movies i watched with my parents  but this was the only one we walked out of  since then i had never seen interiors until just recently  and i could have lived out the rest of my life without it  what a pretentious  ponderous  and painfully boring piece of    s wine and cheese tripe  woody allen is one of my favorite directors but interiors is by far the worst piece of crap of his career  in the unmistakable style of ingmar berman  allen gives us a dark  angular  muted  insight in to the lives of a family wrought by the psychological damage caused by divorce  estrangement  career  love  non love  halitosis  whatever  the film  intentionally  has no comic relief  no music  and is drenched in shadowy pathos  this film style can be best defined as expressionist in nature  using an improvisational method of dialogue to illicit a  more pronounced depth of meaning and truth   but woody allen is no ingmar bergman  the film is painfully slow and dull  but beyond that  i simply had no connection with or sympathy for any of the characters  instead i felt only contempt for this parade of shuffling  whining  nicotine stained  martyrs in a perpetual quest for identity  amid a backdrop of cosmopolitan affluence and baked brie intelligentsia the story looms like a fart in the room  everyone speaks in affected platitudes and elevated language between cigarettes  everyone is  lost  and  struggling   desperate to find direction or understanding or whatever and it just goes on and on to the point where you just want to slap all of them  it s never about resolution  it s only about interminable introspective babble  it is nothing more than a psychological drama taken to an extreme beyond the audience s ability to connect  woody allen chose to make characters so immersed in themselves we feel left out  and for that reason i found this movie painfully self indulgent and spiritually draining  i see what he was going for but his insistence on promoting his message through prozac prose and distorted film techniques jettisons it past the point of relevance  i highly recommend this one if you re feeling a little too happy and need something to remind you of death  otherwise  let s just pretend this film never happened',-1

'this film is mediocre at best  angie harmon is as funny as a bag of hammers  her bitchy demeanor from  law and order  carries over in a failed attempt at comedy  charlie sheen is the only one to come out unscathed in this horrible anti comedy  the only positive thing to come out of this mess is charlie and denise s marriage  hopefully that effort produces better results',-1

'the film is bad  there is no other way to say it  the story is weak and outdated  especially for this country  i don t think most people know what a  walker  is or will really care  i felt as if i was watching a movie from the    s  the subject was just not believable for the year       even being set in dc  i think this rang true for everyone else who watched it too as the applause were low and quick at the end  most didn t stay for the q a  either i don t think schrader really thought the film out ahead of time  many of the scenes seemed to be cut short as if they were never finished or he just didn t know how to finish them  he jumped from one scene to the next and you had to try and figure out or guess what was going on  i really didn t get woody s  carter  private life or boyfriend either  what were all the  artistic  male bondage and torture pictures  from iraq prisons  about  what was he thinking  i think it was his very poor attempt at trying to create this dark private subculture life for woody s character  car   it didn t work  it didn t even seem to make sense really the only good thing about this film was woody harrelson  he played his character  car  flawlessly  you really did get a great sense of what a  walker  may have been like  say twenty years ago   he was great and most likely will never get recognized for it as for lauren  lily and kristin    boring don t see it  it is painful  unless you are a true harrelson fan',-1

'this film is one giant pant load  paul schrader is utterly lost in his own bad screenplay  and his directing is about as comatose as it can be without his actually having been sleepwalking during the process the worst though is woody harrelson  whom i ordinarily like when he s properly cast  he plays  the walker   a homosexual man in d c  who plays social companion to the bored wives of the washington elite  he couldn t have been more one dimensional if he had been cut out of a magazine and bounced around in front of the camera on a popsicle stick  his  southern accent  is that  off the rack  version that decrescendos from the beginning to the end of every line he delivers  as though the heat and humidity of the south is still draining him of every ounce of energy he has  it is monotonous  but  his is not the worst accent in the movie  his  boyfriend   played by moritz bleibtreau  attempts to affect some kind of a mid east accent that is so clumsy he can barely deliver the bad lines written for him  he is incapable of rolling his r s in spite of the fact that in real life he is german  and speaks several languages   one of them being italian  that s kind of a good reason to cast someone else don t ya think from the story  to the screenplay  to the directing  to the camera work  to the performances by the leads  this movie is bad from beginning to end  the only tolerable moments in this film came from three supporting actresses  lily tomlin  lauren bacall  and kristin scott thomas  only these three managed to make it through this movie with their dignity in tact  in fact  all three are excellent  in spite of being trapped in a really bad film  ufortunately  no one could ever be good enough to redeem this endless series of flaws  if you like these three actresses  watch them in something else  this movie is not worth your time',-1

'this movie must be in line for the most boring movie in years  not even woody harrison can save this movie from sinking to the bottom the murder in this movie are supposed to be the point of interest in this movie but is not  nothing is of any interest  the cast are not to bad but the script are just plain awful   i just sat in utter amazement during this movie  thinking how on earth can anyone find this movie entertainingthe producers of this movie were very clever  they made a boring movie but hid it well with the names of good actors and actresses on their cast  people will go to the blockbuster and probably see this movie and think  woody harrison  kristin scott thomas and willem dafoe this must be good and rent this movie  boy are they in for a horrible time if you like getting ripped off go and rent this movie  some people actually did enjoyed this movie but i like to watch a movie with meaning',-1

'a worn out plot of a man who takes the rap for a woman in a murder case   the equally worn out plot of an outsider on the inside who eventually is shut out with such an outstanding case  one would think the film would rise above its hackneyed origins  but scene after scene drones by with no change in intensity  no character arcs  and inexplicable behavior the homosexuality theme was completely unnecessary    or on the other hand  completely unexplored  it seemed to be included only to titillate the viewers  when will hollywood learn that having gay characters does not automatically make a more compelling picture a regrettably dreadful movie  when will lauren bacall pick a good one  i expected better of her and kristin scott thomas  this one is definitely one to miss',-1

'i saw this movie at a drive in in       until  howard the duck  i considered this the worst movie i had ever seen  this movie tried to combine all the genera in one  comedy  horror  teenage angst  and the hot rod that must have sired  my mother  the car   maybe it deserves a second viewing to see if it is an accurate reflection of it s time',-1

'ghost of dragstrip hollow is a typical      s teens in turmoil movie  it is not a horror or science fiction movie  plot concerns a group of teens who are about to get kicked out of their  hot rod  club because they cannot meet the rent  once kicked out  they decide to try an old haunted house  the only saving grace for the film is that the  ghost   paul blaisdell in the she creature suit  turns out to be an out of work movie monster played by blaisdell',-1

'the worst movie i have seen since tera jadoo chal gaya  there is no story  no humor  no nothing  the action sequences seem more like a series of haphazard akshay kumar thumbs up advertisements stitched together  heavily influenced from the matrix and kung fu hustle but very poorly executed i did not go a lot of expectations  but watching this movie is an exasperating experience which makes you wonder  what were these guys thinking      the only thing you might remember after watching it is an anorexic kareena in a bikini the reason why i did not give a rating of     is that every time i think i have seen the worst  bollywood proves me wrong',-1

'shame on yash raj films and aditya chopra who seems to have lost their intelligence over the years and providing steady fare of tripe in this piece of cinematic crap thats not even worth you tube standards  i was gritting my teeth throughout the whole flick start to finish with the schizophrenic direction  plot line that never quite materialized and on the last scene i just felt ashamed that my country and its crorepati film makers can  throw away  crores on such stupidity  shame on the actors for taking this work and even commenting on it as some piece of work they can own up to  saif ali khan  completely disappointed in your choice of film  kareen shows enough skin for the puberty stricken and akshay comes up as the dim wit  anil another retard with a pubescent fascination for english  his cronies were commendable in their acting and with the bizarre cinematography scattered in the last    minutes  it was enough to pop a blood vessel  don t waste any brain cells  energy or your money to go see this  go see   rent amu  with konkana sensharma instead  a beautiful piece of independent film thats ever come out of india intelligent  poignant and a wonderful story tale that will touch everyone with intelligent actors and gave me hope that all is not lost in indian cinema making',-1

'if this is a      product from one of the biggest production houses of indian film industry  yash raj  then i am afraid it is a very long ahead for us to reach the right standards if you can go wrong to this length with such an enormous star cast of anil  akshay  saif and kareena  then movie making is still to be studied much harder by everyone associated with this film  the film lacks in almost all departments except cinematography and akshay kumar  he has a few good dialogues to render but that alone cannot make you enjoy a flick with huge expectations the first scene of a car going down into a river from the mountain has very cheap graphics like that of a cartoon film  that itself was a clear indicator of the director s vision  every actor who otherwise is an asset to a movie is simply wasted  anil kapoor s gimmick of attempting good english falls flat most of the times  and saif will surely hit himself thinking why he signed this movie in short it s the biggest waste of resourses after  jhoom barabar jhoom   i would say that even  aaja nachle  was a better enjoyable movie than this one cannot understand how and why this kind of script was written and approved  the most unwanted was the flashback sequence of akshay s love story  after the faulty script the weakest point of the movie is its music  vishal shekhar have given just some filler tunes to each song  the songs start off very well and suddenly the tunes drop drastically  only one song  falak tak chal  is somehow good of all in the lot  an opportunity wasted by vishal shekhar regarding the continuity intelligence of the makers just sample this   akshay and saif are on the road in the hilly area of a foreign location  probably ladakh   in the next scene they are searching for kareena in haridwar and then back in the hills with kareena in the dicky of their car  i am still thinking who wrote this if you manage to sit till the last then the climax is too long with silly and unnecessary stunts  you can see all the heroes walking through the storm of bullets not hurt as if they are god  are we still seeing a      movie with all these technical heights achieved  so no more words on this pathetic and downgrade movie but a sincere request to senior actors from their fan dear anil kapoor   akshay kumar  if possible please ask for a preview of your movies after their first copy is out  as artists of such stature  you have certain responsibilities towards your fans and viewers  people still clap for you as you enter the screen in your first scenes respectively  i think this kind of movie should not see the daylight as it hampers the reputation of all associated with the movie  the actors and the production house both',-1

'i had some expectation for the movie  since it had a nice star cast and it is the return of the duo of akshay and saif  well  i was hesitant to watch the movie because this was done by the same man who wrote the story for dhoom franchise because i hated dhoom    but if dhoom   is compared to tashan  i would say dhoom   is very realistic when i saw the credits at the beginning  i felt nice because it was put up in a nice way  well  the very first scene itself pis ed me off  then  the major drawback of the movie is the action sequences  me and my friends were laughing our guts off watching this crappy fights  it was like akshay against some    thugs and all and the thugs even got machine guns  phew   you got to see this to understand how bad the action sequences are the other thing about the movie is the far too predictable story  it reminded me of some of the early    s movies well  the only thing the movie is worth is of sexy kareena  who looked really hot in this one and for that  i give a rating of   out of    guys  please  please   don t see this one thinking that it is a real gangster movie  well  you can watch this to have some laughs at the terrible fight scenes thats all',-1

'the action in this movie beats sunny bhai in gadar  akshay kumar possess the superpowers of leonidus in      neo in matrix along with spiderman and superman  it is hilarious  except for the typical akshay kumar and anil kapoor comedy i cannot see anything positive in this film  the story looks like the writer told his   yr old son to write  the movie is so unreal that anil kapoors long range shooting with a shotgun is the least most mistake by the director  except for the directors tashan to make this movie there is no other tashan  i regret wasting my money on this movie and i would not recommend it to anybody       is the least i can give on imdb or i would give it a zero',-1

'i had a lot of expectations from this movie and more so since it was a yashraj film jimmy operates a call centre and one day he is invited by pooja singh to teach her boss  lakhan singh  english  the two fall in love and decide to run away but pooja tells jimmy that she can t do this as she owes a debt to lakhan singh  who is also known as bhaiyyaji  but they decide and steal money from him and its only then that jimmy finds out that bhaiyyaji   lakhan singh is a don  in the meantime  bhaiyyaji hires a man  bachchan pandey  to track down jimmy and pooja starring saif ali khan  kareena kapoor  anil kapoor and akshaye kumar  the movie is directed by first time director viay krishna acharya and is produced by both aditya chopra and yash chopra  tashan  has to be one of the worse films that i have ever watched  yes  the scenery is good and kareena kapoor  and her much publicised weight loss  looks good  but plot is extremely thin on story and at times makes no sense from one scene to the other   hence why i have said at the beginning that i had expected more from this film as it was a yashraj production  with reference to songs  unfortunately  there is not one song that i can remember now there are moments where one can laugh and that is mainly thanks to akshaye kumar and saif could have definitely done better while kareena kapoor played her part well  but this cannot be said for anil kapoor   it did not suit him at all as a villain  lastly never mind aditya chopra  who in the past has produced and directed good films such as  mohabbatein   what was yash chopra doing by producing such a trash movie conclusion  bad movie  not worth wasting your time and that is my first and last impression',-1

'i had no idea what the film is about before i saw it because tashan only had teaser trailers while it was being promoted  so i asked my friends if they knew anything about it and they said that  it is the directorial debut of vijay krishna acharya who wrote the screenplays for dhoom       and saif ali khan s son ibrahim makes his debut in the film by playing him as a child in his flashback  after watching it  i understood that why their wasn t a proper trailer because there wasn t anything in the film to show  the story was extremely dum and even a    year old child can come up with a better story line  there was hardly any action and the camera shook at every possible angle there is and it s difficult to figure out that who is killing who  also the action was daft   unrealistic e g    man with a handgun managed to kill about     men with machine guns while i was watching tashan it reminded me of   films sin city  during the opening credits koyla  anil kapoor s terrible english like amrish puri in koyla jhoom barabar jhoom  the outrageously ridiculous jokes that are not even a jot funny i also heard the budget is    crores which is the same amount as dhoom   and i don t know where all the money went to  anyway if you did not like dhoom   then there is absolutely no chance that you will like tashan  race was hot on heels and that is a million times better the only   good songs are dil haara   challiya and both songs are shot in greece at good locations but what is the use of it in a rubbish film  even anil kapoor s terrible english couldn t save this discomfiture',-1

'tashan   the title itself explains the nature of the movie this type of movies are actually made for flop  what a shame that yash raj films produces such movies those are worthless than c grade movies  or even some c grade movies have better and pleasing story than tashan  the much hyped and over confidently promoted tashan poorly bombed at the box office which it certainly deserved in my view  this is the worst movie ever made from honourable yash raj films  banner  how come they handled such a heavy project to new vijay krishna acharya who has no actual sense of making action flick  he tried to imitate sanjay gadhvi s ways of making like dhoom but he suffered at last  the action scenes are more like than comics or cartoon movies made for exhausting the audiences the story also loses in its meaning and substances to tenderly win the audiences  hearts  in most scenes anil kapoor reminds me of southern tamil star rajnikant in his body languages and wordly expressions  i am not a fan of neither saif nor akshay  but the award of kareena should have finally gone to saif  s hand instead of akshay  just from the starting point i expected of it  but at the end it displeased me with the climax truth  saif is the main behind the whole adventure  while akshay joins in the midst  in any movie  the final should be judged with the whole characters of the entire story and the award or say reward should be given to the one who deserves credit  and tashan loses in this way  and unexpectedly failed to become a hit akshay s has nothing new to show off his comedian talent here but still reminds of his previous movies  he seriously need to form a new image to his fans that would impress them again and again  in between saif did a great job in race  and now he returned again in his hilarious nature through this movie  but he has fully developed himself in the acting field  and last but not the least about kareena  she looks really hot with bikini dress of which some complain as she became too lean  but i myself don t think so  instead she became slim  yes slim    it is a good factor for a female to attract the major people  or say  male   beside them it is nice that saif s son ibrahim appears in the beginning   last as young saif  i hope now he too will lean forward in target of making acting as his career those who like this tashan they are either mentally immatured or still want to go back to childhood  or say want to be admitted in an asylum  thumbs down to debutante director vijay krishna acharya who mishandled the project offered by yash raj films  in future he should experiment and study the script minimum of   years before going into practical directions sorry  i don t like to rate good stars to this type of junk movies',-1

'i just saw the movie in theater  the movie has very few good points to talk about  kareena s beauty and a couple of songs may be  thats it  the movie is a complete disappointment in all areas  anyone associated with the movie will be disappointed  even mumbai indians too  just now chennai has made it to semi final  but the worst i feel about the movie is the action scenes  now days bollywood is trying to copy action scenes from hollywood  but they forget that hollywood directors takes a lot effect to make it look like real  but unfortunately bollywood directors do not have that much of time  they spend their time on songs and publicity of the movie  now such too stupid action scenes may work in south as the audience just pay to watch their favorite actor killing bunch of people  but in bollywood this is certainly not going to work  all the action scenes i wish i could have forwarded  at the end even some chinese people appear from nowhere to beat akshay kumar  this is height of stupidity  audience is not paying to watch such stupidity  i think bollywood now should forget about the action movies  they cant make it  the last good action i have seen was from  ghatak  and  khiladiyon ka khialdi   the current scene in bollywood is really sad for action movie fans like me  does these people see their movie after completion  can t they figure out that the slow motion action  which is done using ropes  is too unrealistic and childish  better not to have action scenes if you cant handle it  i just want to go back to amitabh s era where movie like zanjeer and deewar were having thrilling action scenes  the sound effect was not very effective in those days  but visually it is much better than current era scenes this movie now should open the eyes of the bollywood movie directors  please don t make any more action movies  until you acquire the art of making it realistic',-1

'i was very displeased with this move  everything was terrible from the start  the comedy was unhumorous  the action overdone  the songs unmelodious  even the storyline was weightless  from a writer who has written successful scripts like guru and dhoom  i had high expectations  the actors worked way too hard and did not help the film at all  of course  kareena rocked the screen in a bikini but for two seconds  i think hindi stunt directors should research how action movies are done  they tend to exaggerate way too much  in chinese films  this style works because that is their signature piece  but  hindi cinema s signature are the songs  a good action movie should last no more than two hours and cannot look unrealistic  but  in the future  i m sure these action movies will get much sharper  also to be noted  comedy and action films do not mix unless done properly  good luck next time',-1

'if there is one film which is the worst of this year  it s tashan the first promo gave an indication that the film will be a boring dhoom   style film  and well i knew first only it would be a bad film whatever it maybe because of it being a yashraj film or maybe seeing the cheesy promo but this film gave me a shock  it was even worst then dhoom   and what i expected first saif s introduction which is boring then saif  kareena meet  kareena is so artificial and then anil kapoor oh god  what he is doing in such a weird film  what kinda role it is  what acting is he doing  his first scene is alright but then his act gets repetitive and he overacts then came akshay who provided some nice scenes  but then the film became more boring and with all the outdated stuff childhood romance  overdose of childish rajnikant style action scenes and all boring scenes the ending is another jokevijay krishna acharya would have got   films more to direct  if this film had worked  thats the strategy of yashraj  only money nothing else so vijay is another addition to their list of crap filmmakers music  vishal shekhar  is ordinaryperformances akshay kumar comes in the film as a whiff of fresh air  he actually provides some engaging moments saif ali khan is irritating  kareena is equally bad anil kapoor hams outrageously and spoils the show even more rest are okay',-1

'absolutely awful movie  utter waste of time background music is so loud that you cannot understand speech  well if you really listen closely  whatever they speak is actually unintelligible camera work is bad  editing is not present  background score gives a headache  action is shoddy  dialogs are unintelligible  acting is abysmal and well kareena used to look like a wrestler  now she looks like a starved wrestler  hell you can slim down but you cannot gain grace after spending three hours watching a movie i want to like it  but this movie would not even allow me that pleasure please if you want to torture yourself  go ahead watch this',-1

'sometime i fail to understand what do the directors think when they make a movie    i had had a trauma after watching welcome        and thought that they wont do it again  but after loads of amazing promos  tashan finally ended as heart attack such amazing   songs in promo   dil haara  chhaliya and tashan mein      and what u get in the movie  zero story  predictable plot  plenty of akshay kumar stunts and nothing interesting apart from watching kareena after her major weight loss      music wise another major disaster    in the music album  they have spent time on giving pathetic small dialogs of these   jokers and they haven t thought of giving the background song of the scenes when akshay kumar is doing stunts     that song is such nice  quite comparable to tashan mein and that is not taken in the music album        if you plan to watch this movie  i would say  watch it to listen to that background song which goes something like     bachchan bachchan pandey    overall very disappointed even with the way bhaiyyaji has made attempt to speak bad english go away man  i need to puke',-1

'i had never thought the standard of yashraj films would ever degrade to such an extent  the film has a nonsense storyline which catches no interest saif has over acted  kareena has improved her figure  but is not a good actress anyway  akshay is good  anil is also good  may i say the role wasn t good  great deal of cheapness is filled in  wondered if that was supposed to be the  comedy part  of the movie  just because last few movies were flops does that mean yashraj films should make this kind of rubbish  it has a history of so many good films overall  i was totally disappointed with the movie',-1

'this movie is horrible  the acting is a waste basket  no crying  no action  hopeless songs  though the scenery is great  i have always wanted to go to greece anyway  as for saif  you d expect a great performance  but even he let down the people akshay kumar  recognized as the pimp of bollywood and the voice of singhs  he was sensational in this movie  for only this performance  filmfare should introduce another award  the toiletries award for the worst performance  by the way the trophy should be a toilet seat kareena kapoor  she first of all is not comparable to her sister karisma  in acting  in looks  or in body  she now wants to prove to herself that she surpasses her  she comes into this movie wearing bikini s and tank tops and short shorts  i really wonder why saif ali khan is letting his wife to be dress like that  but  she must ve impressed some people dressing like that  and if you ask how  then consider every man is having an erection watching this movie  they are dreaming of having kareena kapoor in bed naked with a condom  including me  personally i think that she dressed like a whore  but i really liked it i am forced to give it a       but i d really give this movie a       an unachieved film',-1

'for this movie defines a new low in bollywood and has set the standard against which all c  p must now be compared first off  the beginning did have elements of style    and if handled well  could have become a cult classic  a la pulp fiction or a desi desperado   but the plot  was there one   begins to meander and at one point completely loses it throw in a deranged don with an obsession for english  a call center smart alec  a femme fa tale who can don a bikini and a saree with the same aplomb  a levitating  gravity defying hit man and a cop with a hundred  or was it a thousand  black cat commandos on their trail    good ingredients in competent hands  but this is where i would like to ask the director  sir  what were you smoking im sure this movie would be remembered in the annals of bollywood film making   for what must never be done   insult the intelligence of the most brain dead of movie goers possibly the only redeeming feature in this desi matrix plus desperado plus grindhouse caper is the music   watch the videos   hear the airplay and you wont be disappointed  vishal  shekhar come up with some eminently hummable tunes how i wish the director had spent the money in creating some more eye candy    as i sign off  i want to really  badly know how does akshay s bullet wound vanish in a microsecond   what were you editors doing  tashan  maybe',-1

